sector,indicator,description,verified_value_raw,verified_value,unit,year,geography,data_status,imputation_method,imputation_note,source,dataset,source_url,simulation_ready
Agriculture,Date production,Total date production,1923,1923.0,thousand tons,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Agricultural Statistics 2024,,Yes
Agriculture,Open-field vegetables,Production of open-field vegetables,2745,2745.0,thousand tons,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Agricultural Statistics 2024,,Yes
Agriculture,Organic agriculture,Organic agriculture area,20.7,20.7,thousand hectares,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Agricultural Statistics 2024,,Yes
Agriculture,Palm trees,Total palm trees,37.6+,37.6,million trees,2024,Saudi Arabia,Verified - reported as 37.6+; stored as 37.6 with qualifier,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Agricultural Statistics 2024,,No
Business,Active enterprises,Total active enterprises,1.022,1.022,million enterprises,2024,Saudi Arabia,Verified,None,Total active enterprises,GASTAT,Business Demography Statistics 2024,,Yes
Business,Business demography,Active/new/closed establishments indicators,,,establishments,2024,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Business Demography Statistics,,No
Business,Closed enterprise rate,Closed enterprises rate,13.7,13.7,percent,2024,Saudi Arabia,Verified,None,Closed enterprises rate,GASTAT,Business Demography Statistics 2024,,Yes
Business,Closed enterprises,Approximately 139 thousand closed enterprises,139.0,139.0,thousand enterprises,2024,Saudi Arabia,Verified,None,Approximately 139 thousand closed enterprises,GASTAT,Business Demography Statistics 2024,,Yes
Business,Net turnover rate,Net turnover rate of enterprises,17.6,17.6,percent,2024,Saudi Arabia,Verified,None,Net turnover rate of enterprises,GASTAT,Business Demography Statistics 2024,,Yes
Business,New enterprise rate,New enterprises rate,31.3,31.3,percent,2024,Saudi Arabia,Verified,None,New enterprises rate,GASTAT,Business Demography Statistics 2024,,Yes
Business,New enterprises,Approximately 320 thousand new enterprises,320.0,320.0,thousand enterprises,2024,Saudi Arabia,Verified,None,Approximately 320 thousand new enterprises,GASTAT,Business Demography Statistics 2024,,Yes
Business,SMEs,Small and medium establishments indicator,,,establishments,2024,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Small and Medium Enterprises Statistics 2024,,No
Digital Economy & ICT,Digital economy share of GDP,Share of digital economy in GDP,16.0,16.0,percent,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Digital Economy Statistics 2024,,Yes
Digital Economy & ICT,ICT employee compensation,Employee compensation in ICT sector,29.2,29.2,billion SAR,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Digital Economy Statistics 2024,,Yes
Digital Economy & ICT,ICT operating expenditures,Operating expenditures of ICT sector,122.2,122.2,billion SAR,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Digital Economy Statistics 2024,,Yes
Digital Economy & ICT,ICT operating revenues,Operating revenues of ICT sector,249.8,249.8,billion SAR,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT Digital Economy Statistics 2024,,Yes
Education,Education satisfaction,Youth aged 15-19 enrolled in education; self-reported satisfaction with life,92.94,92.94,percent,2024,Saudi Arabia,Verified,None,Youth aged 15-19 enrolled in education; self-reported satisfaction with life,GASTAT,Education and Training Statistics 2024,,Yes
Education,Educational institutions,Number of educational institutions,,,institutions,2024,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Education and Training Statistics 2024,,No
Education,Parents attending school events,Parents attending school events,95.98,95.98,percent,2024,Saudi Arabia,Verified,None,Parents attending school events,GASTAT,Education and Training Statistics 2024,,Yes
Education,Parents aware of school learning,Parents' awareness of what children learn at school,98.89,98.89,percent,2024,Saudi Arabia,Verified,None,Parents' awareness of what children learn at school,GASTAT,Education and Training Statistics 2024,,Yes
Education,Primary education completion rate,"Completion rate for primary education, population aged 14-16",99.16,99.16,percent,2024,Saudi Arabia,Verified,None,"Completion rate for primary education, population aged 14-16",GASTAT,Education and Training Statistics 2024,,Yes
Education,Students,Number of students,,,students,2024,Saudi Arabia,Missing,None,Not imputed: no same-indicator regional/time observations are present. A cross-indicator median would be statistically invalid because units differ.,GASTAT,Education and Training Statistics 2024,,No
Education,Students doing their best at school,Students aged 8-17,98.49,98.49,percent,2024,Saudi Arabia,Verified,None,Students aged 8-17,GASTAT,Education and Training Statistics 2024,,Yes
Education,Students doing well at school,Students aged 8-17,98.53,98.53,percent,2024,Saudi Arabia,Verified,None,Students aged 8-17,GASTAT,Education and Training Statistics 2024,,Yes
Education,Students enjoying school,Students aged 8-17,97.93,97.93,percent,2024,Saudi Arabia,Verified,None,Students aged 8-17,GASTAT,Education and Training Statistics 2024,,Yes
Energy & Water,Households interested in solar,Households interested in using solar energy,40.8,40.8,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Household Energy Statistics 2024,https://www.stats.gov.sa/documents/20117/2435281/Household%2BEnergy%2BStatistics%2B2024%2BEN.pdf/e75adba8-4b9c-ed71-7683-6468baf2744b,Yes
Energy & Water,Households using gas for cooking,Households using gas for cooking,86.4,86.4,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Household Energy Statistics 2024,https://www.stats.gov.sa/documents/20117/2435281/Household%2BEnergy%2BStatistics%2B2024%2BEN.pdf/e75adba8-4b9c-ed71-7683-6468baf2744b,Yes
Energy & Water,Population benefiting from electricity,Population benefiting from electricity services,100.0,100.0,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Household Energy Statistics 2024,https://stats.gov.sa/en/w/news/125,Yes
Energy & Water,Renewable energy operating capacity,Operating renewable-energy project capacity,6551.0,6551.0,MW,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Renewable Energy Statistics 2024,https://www.stats.gov.sa/en/news?delta=9&start=17,Yes
Energy & Water,Residential electricity consumption,Residential-sector electricity consumption,161207.0,161207.0,GWh,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Household Energy Statistics 2024,https://stats.gov.sa/en/w/news/125,Yes
Environment,Basic sanitation,Households benefiting from basic sanitation services,99.9,99.9,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Household Environment Statistics 2024,https://stats.gov.sa/en/news?delta=20&start=5,Yes
Environment,Safely managed drinking water,Households benefiting from safely managed drinking water,99.8,99.8,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Household Environment Statistics 2024,https://stats.gov.sa/en/news?delta=20&start=5,Yes
Environment,Safely managed sanitation,Households benefiting from safely managed sanitation,89.5,89.5,percent,2024,Saudi Arabia,Verified,None,Officially reported value; no imputation.,GASTAT,Household Environment Statistics 2024,https://stats.gov.sa/en/news?delta=20&start=5,Yes
Environment,Basic sanitation,Households benefiting from basic sanitation services,99.9,99.9,percent,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Household Environment Statistics 2024,,Yes
Environment,Household drinking water,Households with safely managed drinking water,99.8,99.8,percent,2024,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,Household Environment Statistics 2024,,Yes
GDP & National Accounts,GDP at current prices,GDP at current prices,4789,4789.0,billion SAR,2025,Saudi Arabia,Verified,None,No imputation. Requires an official value for this exact indicator.,GASTAT,GASTAT GDP Statistics 2025,,Yes
